route,viewport,automated_h1_count,automated_heading_skips,automated_empty_links,automated_unnamed_buttons,automated_unlabelled_fields,automated_fields_without_id_or_name,automated_nested_interactive,automated_result,keyboard_tab_stops,keyboard_named_stops,keyboard_visible_focus_stops,keyboard_trap,keyboard_result,result
/products/notice-only,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/notice-only,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/notice-only,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/complete-pack,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/complete-pack,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/complete-pack,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/money-claim,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/money-claim,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/money-claim,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/ast,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/ast,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/ast,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/section-13-standard,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/section-13-standard,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/products/section-13-standard,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/tools/hmo-license-checker,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/tools/hmo-license-checker,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/tools/hmo-license-checker,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/tools/rent-arrears-calculator,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/tools/rent-arrears-calculator,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/tools/rent-arrears-calculator,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/blog/bailiff-eviction-day-what-to-expect,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/blog/bailiff-eviction-day-what-to-expect,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/blog/bailiff-eviction-day-what-to-expect,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/eviction-cost-uk,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/eviction-cost-uk,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/eviction-cost-uk,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/how-to-rent-guide,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/how-to-rent-guide,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/how-to-rent-guide,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/n5-n119-possession-claim,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/n5-n119-possession-claim,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/n5-n119-possession-claim,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,mobile,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,tablet,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,desktop,1,0,0,0,0,0,0,PASS,24,24,24,no,PASS,PASS
