route,expectedIndexability,sitemapState,canonical,canonicalStatus,defect,finalStatus
/,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk,SELF_CANONICAL,,PASS
/pricing,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/pricing,SELF_CANONICAL,,PASS
/products/notice-only,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/products/notice-only,SELF_CANONICAL,,PASS
/products/complete-pack,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/products/complete-pack,SELF_CANONICAL,,PASS
/products/money-claim,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/products/money-claim,SELF_CANONICAL,,PASS
/products/ast,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/products/ast,SELF_CANONICAL,,PASS
/products/section-13-standard,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/products/section-13-standard,SELF_CANONICAL,,PASS
/products/section-13-defence,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/products/section-13-defence,SELF_CANONICAL,,PASS
/standard-tenancy-agreement,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/standard-tenancy-agreement,SELF_CANONICAL,,PASS
/premium-tenancy-agreement,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/premium-tenancy-agreement,SELF_CANONICAL,,PASS
/student-tenancy-agreement,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/student-tenancy-agreement,SELF_CANONICAL,,PASS
/hmo-shared-house-tenancy-agreement,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/hmo-shared-house-tenancy-agreement,SELF_CANONICAL,,PASS
/lodger-agreement,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/lodger-agreement,SELF_CANONICAL,,PASS
/tools,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/tools,SELF_CANONICAL,,PASS
/tools/hmo-license-checker,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/tools/hmo-license-checker,SELF_CANONICAL,,PASS
/tools/rent-arrears-calculator,INDEXABLE,IN_SITEMAP,https://landlordheaven.co.uk/tools/rent-arrears-calculator,SELF_CANONICAL,,PASS
