url,path,status,finalUrl,redirectCount,indexable,indexabilityReasons,canonicalOk,title,titleLength,description,descriptionLength,robotsMeta,xRobotsTag,canonical,alternateCount,ogTitle,ogDescription,ogImage,ogUrl,twitterTitle,twitterDescription,twitterImage,jsonLdCount,jsonLdTypes,h1Count,h1Text,h2Count,internalLinkCount,topInternalLinkTargets,missingTitle,missingDescription,missingCanonical,missingOgTitle,missingOgDescription,missingOgImage,missingTwitterTitle,duplicateTitle,duplicateDescription,fetchError,fetchFailureCategory,retryCount,responseLocation,responseCacheControl
http://127.0.0.1:5000/ask-heaven/mcol-process-for-rent-arrears-england,/ask-heaven/mcol-process-for-rent-arrears-england,0,http://127.0.0.1:5000/ask-heaven/mcol-process-for-rent-arrears-england,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/money-claim-after-tenant-moves-out,/ask-heaven/money-claim-after-tenant-moves-out,0,http://127.0.0.1:5000/ask-heaven/money-claim-after-tenant-moves-out,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/notice-seeking-possession-vs-eviction,/ask-heaven/notice-seeking-possession-vs-eviction,0,http://127.0.0.1:5000/ask-heaven/notice-seeking-possession-vs-eviction,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/notice-to-leave-scotland-grounds,/ask-heaven/notice-to-leave-scotland-grounds,0,http://127.0.0.1:5000/ask-heaven/notice-to-leave-scotland-grounds,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/possession-order-what-happens-next,/ask-heaven/possession-order-what-happens-next,0,http://127.0.0.1:5000/ask-heaven/possession-order-what-happens-next,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/renewing-fixed-term-tenancy-england,/ask-heaven/renewing-fixed-term-tenancy-england,0,http://127.0.0.1:5000/ask-heaven/renewing-fixed-term-tenancy-england,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/rent-arrears-and-section-8-grounds,/ask-heaven/rent-arrears-and-section-8-grounds,0,http://127.0.0.1:5000/ask-heaven/rent-arrears-and-section-8-grounds,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/rent-arrears-letter-before-action-england,/ask-heaven/rent-arrears-letter-before-action-england,0,http://127.0.0.1:5000/ask-heaven/rent-arrears-letter-before-action-england,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/rent-increase-clause-best-practice-uk,/ask-heaven/rent-increase-clause-best-practice-uk,0,http://127.0.0.1:5000/ask-heaven/rent-increase-clause-best-practice-uk,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
http://127.0.0.1:5000/ask-heaven/repayment-plan-template-landlord-tenant,/ask-heaven/repayment-plan-template-landlord-tenant,0,http://127.0.0.1:5000/ask-heaven/repayment-plan-template-landlord-tenant,0,false,4xx_5xx_or_fetch_error,false,,0,,0,,,,0,,,,,,,,0,,0,,0,0,,true,true,true,true,true,true,true,false,false,fetch failed,fetch_failed,1,,
