route,viewport,hydration_warning_count,uncaught_exception_count,result
/products/notice-only,mobile,0,0,PASS
/products/notice-only,tablet,0,0,PASS
/products/notice-only,desktop,0,0,PASS
/products/complete-pack,mobile,0,0,PASS
/products/complete-pack,tablet,0,0,PASS
/products/complete-pack,desktop,0,0,PASS
/products/money-claim,mobile,0,0,PASS
/products/money-claim,tablet,0,0,PASS
/products/money-claim,desktop,0,0,PASS
/products/ast,mobile,0,0,PASS
/products/ast,tablet,0,0,PASS
/products/ast,desktop,0,0,PASS
/products/section-13-standard,mobile,0,0,PASS
/products/section-13-standard,tablet,0,0,PASS
/products/section-13-standard,desktop,0,0,PASS
/tools/hmo-license-checker,mobile,0,0,PASS
/tools/hmo-license-checker,tablet,0,0,PASS
/tools/hmo-license-checker,desktop,0,0,PASS
/tools/rent-arrears-calculator,mobile,0,0,PASS
/tools/rent-arrears-calculator,tablet,0,0,PASS
/tools/rent-arrears-calculator,desktop,0,0,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,mobile,0,0,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,tablet,0,0,PASS
/blog/how-to-write-letter-before-action-unpaid-rent,desktop,0,0,PASS
/blog/bailiff-eviction-day-what-to-expect,mobile,0,0,PASS
/blog/bailiff-eviction-day-what-to-expect,tablet,0,0,PASS
/blog/bailiff-eviction-day-what-to-expect,desktop,0,0,PASS
/eviction-cost-uk,mobile,0,0,PASS
/eviction-cost-uk,tablet,0,0,PASS
/eviction-cost-uk,desktop,0,0,PASS
/how-to-rent-guide,mobile,0,0,PASS
/how-to-rent-guide,tablet,0,0,PASS
/how-to-rent-guide,desktop,0,0,PASS
/n5-n119-possession-claim,mobile,0,0,PASS
/n5-n119-possession-claim,tablet,0,0,PASS
/n5-n119-possession-claim,desktop,0,0,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,mobile,0,0,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,tablet,0,0,PASS
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,desktop,0,0,PASS
